territoireJeuDonnees,nomScientifiqueRef,nomCite,regne,classe,genre,espece,dateObservation,datePrecision,decennie,annee,mois,dateDetermination,latitude,longitude,precisionGeometrieMetres,commune,departement,region,altitudeMin,atitudeMax,especeEvalueeLR,statutBiogeoEspeceTaxref
France metropolitaine,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2012-04-25T00:00:00Z,DAY,2010,2012,4,,43.07881,6.12954,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Introduit
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2013-12-04T00:00:00Z,DAY,2010,2013,12,,43.37261,5.15839,5000,,Bouches-du-Rhone,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-05-27T00:00:00Z,DAY,1990,1997,5,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2014-01-15T00:00:00Z,DAY,2010,2014,1,,43.18184,5.64314,5000,,Bouches-du-Rhone (mer territoriale),Facade Mediterranee,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2014-01-15T00:00:00Z,DAY,2010,2014,1,,43.18184,5.64314,5000,,Bouches-du-Rhone (mer territoriale),Facade Mediterranee,,,true,Present (indigene ou indetermine)
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2010-05-12T00:00:00Z,DAY,2010,2010,5,,-21.11022,55.28749,,Trois-Bassins,Reunion,La Reunion,541.0,613.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2005-05-31T00:00:00Z,DAY,2000,2005,5,,-21.05046,55.37568,,Saint-Paul,Reunion,La Reunion,1806.0,1869.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2009-04-28T00:00:00Z,DAY,2000,2009,4,,-21.1588,55.37665,,Saint-Leu,Reunion,La Reunion,1897.0,1956.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2013-07-25T00:00:00Z,DAY,2010,2013,7,,-21.20032,55.51683,,Tampon,Reunion,La Reunion,845.0,845.0,,Introduit envahissant
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-27T00:00:00Z,DAY,1990,1992,9,,43.16234,6.34946,7945,Bormes-les-Mimosas,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
